SURVEY_ID,SURVEY_SPECIES_ID,SPECIES_ID,SPECIES_RUN_ID,RUN_NUMBER,LW_MEASURED_ID,FISH_LENGTH,FISH_WEIGHT,AGE_BAND,NALL_AGE
88743,310479,111,383555,1,5089251,182,,>1+,
144124,616017,111,815970,1,7909718,217,,>1+,
144124,616017,111,815970,1,7909713,196,,>1+,
144124,616017,111,815970,1,7909707,209,,>1+,
78192,254836,111,281921,1,5054613,205,,>1+,
78192,254836,111,281921,1,5054612,176,,>1+,
78192,254836,111,281921,1,5054611,175,,>1+,
78192,254836,111,281921,1,5054610,153,,>1+,
78192,254836,111,281921,1,5054609,150,,>1+,
132895,525326,111,702206,1,7050981,191,,>1+,
132895,525326,111,702206,1,7050978,178,,>1+,
132895,525326,111,702206,1,7050977,203,,>1+,
132895,525326,111,702206,1,7050976,212,,>1+,
132895,525326,111,702206,1,7050979,198,,>1+,
142281,601335,111,798288,1,7771804,152,,>1+,
142281,601335,111,798288,1,7771803,146,,>1+,
142281,601335,111,798288,1,7771802,171,,>1+,
142281,601335,111,798288,1,7771801,146,,>1+,
142281,601335,111,798288,1,7771800,211,,>1+,
142281,601335,111,798288,1,7771799,196,,>1+,
142281,601335,111,798288,1,7771798,149,,>1+,
142281,601335,111,798288,1,7771797,141,,>1+,
142281,601335,111,798288,1,7771796,141,,>1+,
142281,601335,111,798288,1,7771795,141,,>1+,
142281,601335,111,798288,1,7771794,146,,>1+,
142281,601335,111,798288,1,7771793,141,,>1+,
142281,601335,111,798288,1,7771792,146,,>1+,
142281,601335,111,798288,1,7771791,150,,>1+,
142281,601335,111,798288,1,7771790,159,,>1+,
142281,601335,111,798288,1,7771789,154,,>1+,
142281,601335,111,798288,1,7771788,165,,>1+,
142281,601335,111,798288,1,7771787,171,,>1+,
142281,601335,111,798288,1,7771786,215,,>1+,
142281,601335,111,798288,1,7771785,174,,>1+,
142275,601416,111,798369,1,7772878,155,,>1+,
142275,601416,111,798369,1,7772877,173,,>1+,
142275,601416,111,798369,1,7772876,166,,>1+,
142275,601416,111,798369,1,7772875,181,,>1+,
142275,601416,111,798369,1,7772874,160,,>1+,
142275,601416,111,798369,1,7772873,184,,>1+,
142275,601416,111,798369,1,7772872,166,,>1+,
142275,601416,111,798369,1,7772871,151,,>1+,
142275,601416,111,798369,1,7772870,182,,>1+,
142275,601416,111,798369,1,7772869,145,,>1+,
142275,601416,111,798369,1,7772868,155,,>1+,
142275,601416,111,798369,1,7772867,162,,>1+,
142275,601416,111,798369,1,7772866,142,,>1+,
142275,601416,111,798369,1,7772865,178,,>1+,
142275,601416,111,798369,1,7772864,170,,>1+,
142275,601416,111,798369,1,7772863,158,,>1+,
142275,601416,111,798369,1,7772862,141,,>1+,
142275,601416,111,798369,1,7772861,145,,>1+,
142275,601416,111,798369,1,7772860,145,,>1+,
142275,601416,111,798369,1,7772859,156,,>1+,
142275,601416,111,798369,1,7772858,142,,>1+,
142275,601416,111,798369,1,7772857,155,,>1+,
142275,601416,111,798369,1,7772856,176,,>1+,
142275,601416,111,798369,1,7772855,170,,>1+,
142275,601416,111,798369,1,7772854,151,,>1+,
142275,601416,111,798369,1,7772853,198,,>1+,
142275,601416,111,798369,1,7772852,146,,>1+,
142275,601416,111,798369,1,7772851,166,,>1+,
142275,601416,111,798369,1,7772850,150,,>1+,
142275,601416,111,798369,1,7772849,127,,>1+,
142275,601416,111,798369,1,7772848,182,,>1+,
142275,601416,111,798369,1,7772847,146,,>1+,
142275,601416,111,798369,1,7772846,161,,>1+,
142275,601416,111,798369,1,7772845,141,,>1+,
142275,601416,111,798369,1,7772894,144,,>1+,
142275,601416,111,798369,1,7772893,144,,>1+,
142275,601416,111,798369,1,7772892,158,,>1+,
142275,601416,111,798369,1,7772891,130,,>1+,
142275,601416,111,798369,1,7772890,159,,>1+,
142275,601416,111,798369,1,7772889,137,,>1+,
142275,601416,111,798369,1,7772888,179,,>1+,
142275,601416,111,798369,1,7772887,149,,>1+,
142275,601416,111,798369,1,7772886,166,,>1+,
142275,601416,111,798369,1,7772885,171,,>1+,
142275,601416,111,798369,1,7772884,156,,>1+,
142275,601416,111,798369,1,7772883,156,,>1+,
142275,601416,111,798369,1,7772881,180,,>1+,
142275,601416,111,798369,1,7772880,153,,>1+,
142275,601416,111,798369,1,7772879,140,,>1+,
142275,601416,111,798369,1,7772882,153,,>1+,
153045,678658,111,900828,3,8644035,239,,>1+,
153045,678658,111,900828,3,8644018,238,,>1+,
153045,678658,111,900828,3,8644016,225,,>1+,
153045,678658,111,900827,2,8643980,235,,>1+,
153045,678658,111,900827,2,8643964,241,,>1+,
153045,678658,111,900827,2,8643962,480,,>1+,
153045,678658,111,900827,2,8643950,378,,>1+,
153045,678658,111,900827,2,8643925,220,,>1+,
153045,678658,111,900826,1,8643800,262,,>1+,
153045,678658,111,900826,1,8643796,330,,>1+,
153045,678658,111,900826,1,8643757,213,,>1+,
153045,678658,111,900826,1,8643754,307,,>1+,
153045,678658,111,900826,1,8643753,311,,>1+,
153045,678658,111,900826,1,8643751,256,,>1+,
153045,678658,111,900826,1,8643701,220,,>1+,
153045,678658,111,900826,1,8643698,324,,>1+,
153045,678658,111,900826,1,8643661,238,,>1+,
153045,678658,111,900826,1,8643660,262,,>1+,
145398,628215,111,831930,1,8045448,200,,>1+,
145398,628215,111,831930,1,8045442,183,,>1+,
151785,670503,111,889397,3,8526329,285,,>1+,
151785,670503,111,889396,2,8526274,287,,>1+,
151785,670503,111,889396,2,8526273,396,,>1+,
151785,670503,111,889395,1,8526208,300,,>1+,
151785,670503,111,889395,1,8526205,296,,>1+,
151785,670503,111,889395,1,8526204,449,,>1+,
151785,670503,111,889395,1,8526199,293,,>1+,
151785,670503,111,889395,1,8526195,254,,>1+,
151785,670503,111,889395,1,8526194,302,,>1+,
151785,670503,111,889395,1,8526192,254,,>1+,
151785,670503,111,889395,1,8526191,298,,>1+,
151785,670503,111,889395,1,8526190,270,,>1+,
151785,670503,111,889395,1,8526188,331,,>1+,
151785,670503,111,889395,1,8526187,265,,>1+,
151785,670503,111,889395,1,8526185,283,,>1+,
151785,670503,111,889395,1,8526184,290,,>1+,
151785,670503,111,889395,1,8526183,278,,>1+,
151785,670503,111,889395,1,8526181,334,,>1+,
151785,670503,111,889395,1,8526180,269,,>1+,
151785,670503,111,889395,1,8526179,300,,>1+,
151785,670503,111,889395,1,8526176,271,,>1+,
151785,670503,111,889395,1,8526175,270,,>1+,
151785,670503,111,889395,1,8526173,328,,>1+,
151785,670503,111,889395,1,8526171,252,,>1+,
151785,670503,111,889395,1,8526170,286,,>1+,
153532,681578,111,904669,2,8687223,273,,>1+,
153532,681578,111,904669,2,8687222,375,,>1+,
153532,681578,111,904669,2,8687219,370,,>1+,
153532,681578,111,904668,1,8683023,330,,>1+,
153532,681578,111,904668,1,8683022,234,,>1+,
153532,681578,111,904668,1,8683016,304,,>1+,
153532,681578,111,904668,1,8683015,325,,>1+,
153532,681578,111,904668,1,8683014,306,,>1+,
153532,681578,111,904668,1,8683012,234,,>1+,
153532,681578,111,904668,1,8683011,235,,>1+,
153532,681578,111,904668,1,8683010,265,,>1+,
153532,681578,111,904668,1,8683006,228,,>1+,
153532,681578,111,904668,1,8683005,361,,>1+,
153532,681578,111,904668,1,8683004,350,,>1+,
153532,681578,111,904668,1,8683001,297,,>1+,
153532,681578,111,904668,1,8682999,370,,>1+,
153532,681578,111,904668,1,8682998,240,,>1+,
153532,681578,111,904668,1,8682997,371,,>1+,
153532,681578,111,904668,1,8682996,263,,>1+,
153532,681578,111,904668,1,8682995,371,,>1+,
153532,681578,111,904668,1,8682994,370,,>1+,
153532,681578,111,904668,1,8682991,371,,>1+,
153532,681578,111,904668,1,8682990,379,,>1+,
153532,681578,111,904668,1,8682993,320,,>1+,
153532,681578,111,904668,1,8682989,452,,>1+,
153532,681578,111,904668,1,8682985,240,,>1+,
153532,681578,111,904668,1,8682984,311,,>1+,
5390,9011,111,9017,1,142597,232,160.0,>1+,
72395,226560,111,230115,2,3548087,201,,>1+,
123573,477803,111,634000,1,6359716,288,,>1+,
115646,436563,111,565482,1,5794655,160,,>1+,
118520,450467,111,590044,1,6010858,295,,>1+,
122732,473525,111,627028,3,6291000,254,,>1+,
122732,473525,111,627028,3,6290999,217,,>1+,
122732,473525,111,627028,3,6290998,324,,>1+,
122732,473525,111,627028,3,6290997,293,,>1+,
122732,473525,111,627027,2,6290996,178,,>1+,
122732,473525,111,627027,2,6290995,234,,>1+,
122732,473525,111,627027,2,6290993,233,,>1+,
122732,473525,111,627027,2,6290992,245,,>1+,
122732,473525,111,627027,2,6290991,256,,>1+,
122732,473525,111,627027,2,6290990,235,,>1+,
122732,473525,111,627027,2,6290989,250,,>1+,
122732,473525,111,627027,2,6290988,305,,>1+,
122732,473525,111,627026,1,6290976,248,,>1+,
122732,473525,111,627026,1,6290975,249,,>1+,
122732,473525,111,627026,1,6290974,160,,>1+,
122732,473525,111,627026,1,6290973,237,,>1+,
122732,473525,111,627026,1,6290972,238,,>1+,
122732,473525,111,627026,1,6290971,287,,>1+,
122732,473525,111,627026,1,6290970,229,,>1+,
122732,473525,111,627026,1,6290969,310,,>1+,
122732,473525,111,627026,1,6290968,288,,>1+,
122732,473525,111,627026,1,6290967,295,,>1+,
122732,473525,111,627026,1,6290966,162,,>1+,
122732,473525,111,627026,1,6290965,172,,>1+,
122732,473525,111,627026,1,6290964,318,,>1+,
122732,473525,111,627026,1,6290963,247,,>1+,
122732,473525,111,627026,1,6290962,315,,>1+,
122732,473525,111,627026,1,6290961,330,,>1+,
122732,473525,111,627026,1,6290960,285,,>1+,
122732,473525,111,627026,1,6290959,268,,>1+,
122732,473525,111,627026,1,6290958,245,,>1+,
122732,473525,111,627026,1,6290957,322,,>1+,
122732,473525,111,627026,1,6290956,215,,>1+,
122732,473525,111,627026,1,6290955,245,,>1+,
122732,473525,111,627026,1,6290954,240,,>1+,
122732,473525,111,627026,1,6290953,278,,>1+,
122732,473525,111,627026,1,6290952,180,,>1+,
122732,473525,111,627026,1,6290951,259,,>1+,
