ANALYSIS_ID,ANALYSIS_TYPE,ANALYSIS_METHOD,TAXON_LIST_ITEM_KEY,TOTAL_ABUNDANCE
115791,LABP,ANLE,NBNSYS0100042293,3
115791,LABP,ANLE,NBNSYS0100043397,3
115791,LABP,ANLE,NBNSYS0100045634,1
115791,LABP,ANLE,NBNSYS0100045938,3
115791,LABP,ANLE,NBNSYS0100046516,3
115791,LABP,ANLE,NBNSYS0100046637,3
115791,LABP,ANLE,NBNSYS0100050057,3
115791,LABP,ANLE,NBNSYS0100054071,3
116627,LABP,ANLE,NBNSYS0100043397,333
116627,LABP,ANLE,NBNSYS0100046516,3
116627,LABP,ANLE,NBNSYS0100047434,1
116627,LABP,ANLE,NBNSYS0100050057,333
116945,LABP,ANLE,NBNSYS0100043397,333
116945,LABP,ANLE,NBNSYS0100046516,33
116945,LABP,ANLE,NBNSYS0100050057,33
116945,LABP,ANLE,NBNSYS0100052557,1
116945,LABP,ANLE,NBNSYS0100052711,33
117019,LABP,ANLE,NBNSYS0100042293,1
117019,LABP,ANLE,NBNSYS0100043397,33
117019,LABP,ANLE,NBNSYS0100045938,1
117019,LABP,ANLE,NBNSYS0100046516,33
117019,LABP,ANLE,NBNSYS0100046637,1
117019,LABP,ANLE,NBNSYS0100050057,33
117019,LABP,ANLE,NBNSYS0100052711,33
117343,LABP,ANLE,NBNSYS0100043397,33
117343,LABP,ANLE,NBNSYS0100044698,3
117343,LABP,ANLE,NBNSYS0100046516,3
117343,LABP,ANLE,NBNSYS0100048387,1
117343,LABP,ANLE,NBNSYS0100050057,33
117343,LABP,ANLE,NBNSYS0100052557,3
117343,LABP,ANLE,NBNSYS0100052711,33
117719,LABP,ANLE,NBNSYS0100042293,1
117719,LABP,ANLE,NBNSYS0100043397,33
117719,LABP,ANLE,NBNSYS0100044698,1
117719,LABP,ANLE,NBNSYS0100045553,1
117719,LABP,ANLE,NBNSYS0100046516,3
117719,LABP,ANLE,NBNSYS0100050057,3
117719,LABP,ANLE,NBNSYS0100051818,1
117719,LABP,ANLE,NBNSYS0100052557,1
117719,LABP,ANLE,NBNSYS0100052711,33
117719,LABP,ANLE,NBNSYS0100054071,3
117913,LABP,ANLE,NBNSYS0100043397,33
117913,LABP,ANLE,NBNSYS0100045553,3
117913,LABP,ANLE,NBNSYS0100046516,33
117913,LABP,ANLE,NBNSYS0100047384,1
117913,LABP,ANLE,NBNSYS0100050057,33
117913,LABP,ANLE,NBNSYS0100052557,3
117913,LABP,ANLE,NBNSYS0100052711,33
118397,LABP,ANLE,NBNSYS0100043397,333
118397,LABP,ANLE,NBNSYS0100050057,3
118397,LABP,ANLE,NBNSYS0100052711,33
141787,LABP,ANLE,NBNSYS0100042293,3
141787,LABP,ANLE,NBNSYS0100043397,3
141787,LABP,ANLE,NBNSYS0100045553,3
141787,LABP,ANLE,NBNSYS0100045634,1
141787,LABP,ANLE,NBNSYS0100045938,33
141787,LABP,ANLE,NBNSYS0100046516,33
141787,LABP,ANLE,NBNSYS0100046637,3
141787,LABP,ANLE,NBNSYS0100047010,3
141787,LABP,ANLE,NBNSYS0100047324,1
141787,LABP,ANLE,NBNSYS0100047384,3
141787,LABP,ANLE,NBNSYS0100048041,3
141787,LABP,ANLE,NBNSYS0100048111,3
141787,LABP,ANLE,NBNSYS0100050057,3
141787,LABP,ANLE,NBNSYS0100050238,1
141787,LABP,ANLE,NBNSYS0100052711,3
118825,LABP,ANLE,NBNSYS0100043196,1
118825,LABP,ANLE,NBNSYS0100043397,333
118825,LABP,ANLE,NBNSYS0100044037,3
118825,LABP,ANLE,NBNSYS0100044698,3
118825,LABP,ANLE,NBNSYS0100046516,3
118825,LABP,ANLE,NBNSYS0100046637,1
118825,LABP,ANLE,NBNSYS0100047324,3
118825,LABP,ANLE,NBNSYS0100050057,33
118825,LABP,ANLE,NBNSYS0100052557,33
118825,LABP,ANLE,NBNSYS0100052711,33
119170,LABP,ANLE,NBNSYS0100042293,1
119170,LABP,ANLE,NBNSYS0100042296,1
119170,LABP,ANLE,NBNSYS0100043397,1
119170,LABP,ANLE,NBNSYS0100045288,1
119170,LABP,ANLE,NBNSYS0100045936,1
119170,LABP,ANLE,NBNSYS0100045938,1
119170,LABP,ANLE,NBNSYS0100046516,1
119170,LABP,ANLE,NBNSYS0100046524,1
119170,LABP,ANLE,NBNSYS0100046635,1
119170,LABP,ANLE,NBNSYS0100046637,1
119170,LABP,ANLE,NBNSYS0100047384,1
119170,LABP,ANLE,NBNSYS0100048272,1
119170,LABP,ANLE,NBNSYS0100050057,1
119170,LABP,ANLE,NBNSYS0100051044,1
119170,LABP,ANLE,NBNSYS0100051510,1
119170,LABP,ANLE,NBNSYS0100052711,2
119170,LABP,ANLE,NBNSYS0100052713,1
143230,LABP,ANLE,NBNSYS0100043397,333
143230,LABP,ANLE,NBNSYS0100046516,
143230,LABP,ANLE,NBNSYS0100046524,3
143230,LABP,ANLE,NBNSYS0100046637,3
143230,LABP,ANLE,NBNSYS0100046684,1
143230,LABP,ANLE,NBNSYS0100047434,1
